uri	yaml_path	language
https://gedcom.io/terms/v5.5.1/OCCU	structure/standard/OCCU-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/ORDI	structure/standard/ORDI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/ORDN	structure/standard/ORDN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PAGE	structure/standard/PAGE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PEDI	structure/standard/PEDI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PHON	structure/standard/PHON-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PLAC-PLACE_LIVING_ORDINANCE	structure/standard/PLAC-PLACE_LIVING_ORDINANCE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PLAC-PLACE_NAME	structure/standard/PLAC-PLACE_NAME-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PLAC-PLACE_NAME-FONE	structure/standard/PLAC-PLACE_NAME-FONE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PLAC-PLACE_NAME-ROMN	structure/standard/PLAC-PLACE_NAME-ROMN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/POST	structure/standard/POST-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PROB	structure/standard/PROB-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PROP	structure/standard/PROP-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/PUBL	structure/standard/PUBL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/QUAY	structure/standard/QUAY-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/REFN	structure/standard/REFN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/REFN-TYPE	structure/standard/REFN-TYPE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/RELA	structure/standard/RELA-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/RELI-RELIGIOUS_AFFILIATION	structure/standard/RELI-RELIGIOUS_AFFILIATION-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/REPO-NAME	structure/standard/REPO-NAME-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/REPO-NULL	structure/standard/REPO-NULL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/REPO-XREF_REPO	structure/standard/REPO-XREF_REPO-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/RESN	structure/standard/RESN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/RETI	structure/standard/RETI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/RIN	structure/standard/RIN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/ROLE	structure/standard/ROLE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SEX	structure/standard/SEX-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SLGC	structure/standard/SLGC-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SLGC-STAT	structure/standard/SLGC-STAT-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SLGS	structure/standard/SLGS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SLGS-STAT	structure/standard/SLGS-STAT-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SOUR-DATA	structure/standard/SOUR-DATA-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SOUR-DATA-EVEN	structure/standard/SOUR-DATA-EVEN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SOUR-DATA-EVEN-DATE	structure/standard/SOUR-DATA-EVEN-DATE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SOUR-DATA-EVEN-PLAC	structure/standard/SOUR-DATA-EVEN-PLAC-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SOUR-SOURCE_DESCRIPTION	structure/standard/SOUR-SOURCE_DESCRIPTION-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SOUR-TITL	structure/standard/SOUR-TITL-v551.yaml	en-US
